RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Dependents,Tenure,Balance,NumOfProducts,IsActiveMember,EstimatedSalary,MonthlyCharges,TotalCharges,PaymentMethod,Exited
1932,15652693,Greco,573,France,Female,26,No,4,129109.02,1,0,149814.68,111.8,5809.75,Bank transfer (automatic),1
1933,15586993,Giordano,655,Spain,Female,56,No,5,0,2,1,41782.7,20.2,20.2,Mailed check,0
1934,15815560,Bogle,666,Germany,Male,74,No,7,105102.5,1,1,46172.47,19.7,415.9,Mailed check,0
1935,15584930,Grimmett,726,Germany,Male,30,No,5,111375.32,2,0,2704.09,79.1,246.5,Electronic check,0
1936,15799031,Ayers,523,France,Male,39,No,3,0,2,0,6726.53,19.85,996.95,Bank transfer (automatic),0
1937,15810457,Miller,728,Germany,Female,33,No,9,150412.14,2,0,170764.08,60.5,3145.15,Bank transfer (automatic),0
1938,15697879,Webb,701,France,Male,30,Yes,3,156660.72,2,0,45742.42,19.55,265.3,Mailed check,0
1939,15594902,Lombardi,518,France,Male,38,No,3,90957.81,1,1,162304.59,20.9,20.9,Mailed check,0
1940,15799710,Wei,739,France,Male,37,Yes,7,104960.46,1,1,80883.82,21.05,21.05,Mailed check,0
1941,15659651,Ross,531,Germany,Female,31,No,7,117052.82,1,0,118508.09,71.5,4576.3,Electronic check,1
1942,15645956,Jideofor,452,Spain,Male,44,No,3,88915.85,1,0,69697.74,54.65,189.1,Mailed check,0
1943,15651713,King,684,France,Male,45,No,6,148071.39,1,0,183575.01,19.2,908.15,Credit card (automatic),0
1944,15737265,Nwokeocha,728,Germany,Male,39,No,6,152182.83,1,0,161203.6,49.8,49.8,Credit card (automatic),0
1945,15687310,Humphries,783,Spain,Male,39,Yes,9,0,2,0,143752.77,25.5,215.2,Mailed check,0
1946,15607347,Olisaemeka,734,France,Male,22,Yes,5,130056.23,1,0,121894.31,20.5,1500.95,Bank transfer (automatic),1
1947,15698321,Yobanna,648,Germany,Male,34,Yes,3,95039.73,2,1,147055.87,90.4,5099.15,Credit card (automatic),0
1948,15657812,Ch'iu,688,France,Male,52,No,1,0,2,1,172033.57,90.25,6385.95,Bank transfer (automatic),0
1949,15569187,Fleming,680,Spain,Male,35,No,9,0,2,0,143774.06,80.75,159.45,Electronic check,0
1950,15681562,Trevisan,516,France,Female,43,Yes,2,112773.73,2,1,139366.58,104.6,6885.75,Bank transfer (automatic),0
1951,15615456,Aleksandrova,680,France,Female,37,No,10,123806.28,1,0,81776.84,91.85,5940.85,Bank transfer (automatic),1
1952,15589793,Onwuamaeze,604,France,Male,53,No,8,144453.75,1,0,190998.96,50.2,668.85,Credit card (automatic),1
1953,15781884,Knox,624,Germany,Male,27,Yes,9,94667.29,2,1,4470.52,95.5,1916.2,Bank transfer (automatic),0
1954,15675190,Chia,623,France,Male,21,Yes,10,0,2,1,135851.3,75.35,75.35,Electronic check,0
1955,15600734,Townsend,624,Spain,Male,51,No,5,174397.21,2,1,172372.63,75.45,75.45,Electronic check,0
1956,15779176,Dike,565,Germany,Female,58,Yes,3,108888.24,3,1,135875.51,95.4,4613.95,Bank transfer (automatic),1
1957,15605286,Moyes,565,France,Male,55,No,4,118803.35,2,1,128124.7,101.3,7261.25,Bank transfer (automatic),1
1958,15674922,Beavers,710,France,Male,54,No,6,171137.62,1,1,167023.95,53.1,2459.8,Electronic check,1
1959,15737506,Tretiakova,645,France,Male,42,No,6,0,1,0,149807.01,84.85,2048.8,Bank transfer (automatic),0
1960,15780514,Fuller,707,France,Male,33,Yes,8,136678.52,1,0,54290.62,34.25,163.55,Electronic check,0
1961,15623647,Dellucci,655,Spain,Female,36,Yes,1,135515.76,1,0,86013.96,88.6,2888.7,Credit card (automatic),0
1962,15668472,Ritchie,705,Spain,Female,24,No,5,177799.83,2,0,79886.06,60.15,2421.6,Bank transfer (automatic),0
1963,15692416,Aikenhead,358,Spain,Female,52,No,8,143542.36,3,0,141959.11,99.95,2292.75,Credit card (automatic),1
1964,15771139,Douglas,578,Germany,Male,34,No,8,147487.23,2,0,66680.77,70.7,553.4,Bank transfer (automatic),0
1965,15738318,Kung,800,France,Female,40,No,5,97764.41,1,0,98640.15,54.8,3465.7,Mailed check,1
1966,15772243,MacDonald,612,France,Female,33,No,9,0,1,0,142797.5,49.55,1210.4,Bank transfer (automatic),1
1967,15638463,Okwudilichukwu,681,Germany,Female,48,No,8,139480.18,1,1,163581.67,54.8,1291.3,Credit card (automatic),0
1968,15598088,Ni,559,Spain,Male,25,No,5,0,2,1,163221.22,78.6,5356.45,Credit card (automatic),0
1969,15693468,Simmons,488,Spain,Female,39,No,9,140553.46,1,0,12440.44,100.3,5200.8,Mailed check,0
1970,15671930,H?,717,France,Female,36,No,5,0,2,1,145551.6,53.6,3237.05,Electronic check,0
1971,15762268,Hancock,666,France,Female,41,No,10,141162.08,1,0,50908.48,81.1,576.65,Electronic check,0
1972,15780954,Cran,582,Spain,Male,26,No,4,65848.36,2,0,30149.21,19.35,433.75,Credit card (automatic),0
1973,15700174,McKay,733,Spain,Female,30,Yes,0,83319.28,1,0,57769.2,85.6,1868.4,Electronic check,0
1974,15635728,P'an,693,France,Male,41,Yes,4,0,2,0,156381.47,80.8,5728.55,Electronic check,0
1975,15679283,Parkhill,694,France,Female,33,No,4,129731.64,2,0,178123.86,74.95,825.7,Electronic check,0
1976,15591386,Golubova,622,France,Female,35,No,5,0,2,0,51112.8,19.6,390.4,Mailed check,0
1977,15694192,Nwankwo,598,Spain,Female,38,No,6,0,2,0,173783.38,93.55,93.55,Electronic check,0
1978,15585901,Johnson,717,Spain,Male,35,No,1,0,3,0,174770.14,90.7,2845.15,Electronic check,1
1979,15792329,Mao,494,Germany,Male,37,No,5,107106.33,2,0,172063.09,69.75,3894.4,Mailed check,0
1980,15635597,Echezonachukwu,644,France,Male,33,Yes,8,0,2,1,155294.17,20,886.4,Bank transfer (automatic),0
1981,15775880,McElyea,554,France,Female,30,No,9,0,2,1,40320.3,95.25,1021.55,Electronic check,0
1982,15630913,Rosas,476,Spain,Female,69,No,1,105303.73,1,1,134260.34,102.1,5885.4,Credit card (automatic),0
1983,15756680,Phillips,667,France,Male,28,Yes,6,165798.1,1,0,147090.9,19.95,268.4,Mailed check,0
1984,15587913,Palerma,748,Spain,Female,40,No,4,0,2,0,132368.47,80.85,2204.35,Mailed check,0
1985,15737605,Morris,531,Spain,Female,45,Yes,1,126495.57,2,1,164741.5,90.9,1259,Bank transfer (automatic),0
1986,15627876,Pavlova,719,Spain,Female,47,Yes,9,116393.59,1,0,63051.32,29.2,309.1,Mailed check,1
1987,15772601,Lu,845,Germany,Female,41,Yes,2,81733.74,2,0,199761.29,93.3,6398.05,Bank transfer (automatic),0
1988,15758606,Yamamoto,738,France,Male,54,Yes,4,0,1,1,55725.04,89.15,2257.75,Bank transfer (automatic),1
1989,15657107,Angelo,563,Spain,Female,46,No,8,106171.68,1,0,163145.5,108.85,6287.25,Electronic check,1
1990,15622454,Zaitsev,695,Spain,Male,28,Yes,0,96020.86,1,1,57992.49,46.35,1662.05,Credit card (automatic),0
1991,15775803,Cawker,841,Spain,Male,41,No,1,0,2,1,193093.77,84.75,1350.15,Electronic check,0
1992,15570859,Froggatt,626,Germany,Male,36,Yes,2,181671.16,2,1,57531.14,78.75,3600.65,Credit card (automatic),0
1993,15748381,Gorbunov,613,France,Female,29,No,6,185709.28,2,1,77242.19,83.55,1329.15,Electronic check,0
1994,15787189,Tai,824,Germany,Male,60,Yes,8,134250.17,3,0,153046.16,45.7,45.7,Electronic check,1
1995,15666055,Rowe,705,France,Female,49,No,7,0,1,0,63405.2,19.6,422.5,Mailed check,1
1996,15617648,Mikkelsen,584,France,Female,44,No,5,95671.75,2,1,106564.88,69.95,69.95,Electronic check,0
1997,15755678,Kovalyov,534,France,Male,62,Yes,2,0,2,0,42763.12,67.85,4627.65,Mailed check,1
1998,15624781,Mbanefo,672,France,Female,34,Yes,1,142151.75,2,1,168753.34,105.65,6717.9,Bank transfer (automatic),0
1999,15779497,Ts'ai,603,France,Male,43,No,5,127823.93,1,1,19483.35,44.6,97.1,Electronic check,0
2000,15567399,Enderby,633,Germany,Male,43,No,3,144164.29,1,1,158646.46,74.95,1710.45,Electronic check,0
2001,15613656,Lombardi,842,France,Male,58,No,1,63492.94,1,1,83172.19,75.5,637.4,Credit card (automatic),0
2002,15734311,Hamilton,661,France,Female,27,No,3,0,2,1,76889.79,20.15,117.95,Mailed check,0
2003,15657214,Hsia,601,France,Male,74,No,2,0,2,1,51554.58,45.2,2460.55,Credit card (automatic),0
2004,15799350,Mao,632,France,Male,41,No,0,106134.46,1,1,105570.39,95.25,5464.65,Electronic check,0
2005,15729970,Ugochukwu,684,Germany,Male,29,No,8,127269.75,1,1,79495.01,89.85,2165.05,Mailed check,0
2006,15725835,West,785,Germany,Female,32,Yes,3,124493.03,2,1,52583.79,100.45,4941.8,Mailed check,1
2007,15745543,Hughes,687,France,Male,39,No,7,0,2,0,26848.25,47.15,223.15,Electronic check,0
2008,15727384,Chukwuemeka,705,Germany,Female,43,No,10,146547.78,1,1,10072.55,80.2,181.1,Electronic check,1
2009,15666916,Lira,639,France,Male,43,Yes,6,99610.92,2,0,187296.78,87.1,341.45,Mailed check,0
2010,15732917,Li,729,Germany,Male,46,Yes,5,117837.43,1,0,104016.61,79.25,5731.85,Bank transfer (automatic),1
2011,15612050,Castiglione,556,Spain,Female,48,No,8,168522.37,1,1,151310.16,75.9,357.75,Bank transfer (automatic),0
2012,15726267,Paterson,570,France,Male,32,Yes,9,117337.54,2,1,62810.91,85.7,4616.1,Electronic check,0
2013,15780124,Blair,841,France,Male,74,No,9,108131.53,1,1,60830.38,98.75,4533.7,Electronic check,0
2014,15742238,Dellucci,705,Germany,Male,35,Yes,4,136496.12,2,0,116672.02,20.1,589.25,Credit card (automatic),0
2015,15679024,Udinesi,553,France,Male,32,Yes,3,116324.53,1,0,77304.49,61.8,750.1,Bank transfer (automatic),0
2016,15715297,Yuan,779,Germany,Female,40,Yes,2,75470.23,1,1,52894.01,49.9,1410.25,Mailed check,0
2017,15633612,Yuryeva,696,France,Male,28,No,4,172646.82,1,1,116471.43,86.45,830.85,Electronic check,0
2018,15602929,Wilson,728,Spain,Female,37,No,4,0,1,0,4539.38,20.4,743.5,Bank transfer (automatic),0
2019,15696703,Dean,691,Germany,Male,27,No,3,160358.68,2,0,142367.72,45.3,45.3,Mailed check,0
2020,15756668,Ross,706,France,Male,30,No,3,98415.37,1,1,110520.48,104.1,7040.85,Electronic check,0
2021,15565779,Kent,627,Germany,Female,30,No,6,57809.32,1,0,188258.49,75.4,3865.45,Mailed check,0
2022,15795519,Vasiliev,716,Germany,Female,18,Yes,3,128743.8,1,0,197322.13,108.15,6825.65,Mailed check,0
2023,15761477,Golibe,501,Germany,Male,24,No,4,130806.42,2,0,80241.14,86.25,1340.1,Electronic check,0
2024,15731890,Chukwukere,601,France,Male,41,No,1,123971.16,1,1,172814.99,81,371.65,Electronic check,0
2025,15633043,Fedorova,545,Spain,Female,39,No,6,0,1,0,38410.74,95.7,1184,Electronic check,1
2026,15752953,Chien,634,France,Male,45,Yes,9,0,2,0,17622.82,116.85,8477.7,Bank transfer (automatic),0
2027,15603088,Rossi,451,Spain,Female,23,No,9,0,2,1,48021.71,105.75,7382.85,Bank transfer (automatic),0
2028,15606613,Samson,655,France,Female,59,No,7,0,1,0,88958.49,20.15,456.85,Mailed check,1
2029,15635939,Fenton,458,France,Female,39,No,9,0,2,0,116343.09,19.6,331.6,Mailed check,0
2030,15666043,Mackey,520,France,Male,33,No,4,156297.58,2,1,166102.61,90.6,6056.15,Credit card (automatic),0
2031,15746190,Payton,624,Spain,Female,28,Yes,2,0,2,1,104353.26,60.95,134.6,Bank transfer (automatic),0
2032,15591357,Cowger,765,France,Male,51,Yes,3,123372.3,1,1,115429.32,25.05,125.5,Mailed check,0
2033,15658716,Banks,667,Germany,Female,37,No,5,92171.35,3,0,178106.34,88.15,1390.6,Electronic check,1
2034,15679909,Pugliesi,665,Spain,Male,41,No,8,0,2,0,132152.32,20.2,20.2,Mailed check,0
2035,15634262,Fantin,709,Germany,Male,34,Yes,4,148375.19,2,1,21521.38,60.3,2511.3,Bank transfer (automatic),0
2036,15799825,Bentley,583,France,Female,44,Yes,8,0,2,1,27431.62,63.95,2737.05,Electronic check,0
2037,15756875,Freeman,782,Spain,Male,34,No,6,147422.44,1,1,42143.61,74.3,74.3,Electronic check,0
2038,15678146,Wong,668,Spain,Female,24,No,7,173962.32,1,0,106457.11,70.6,70.6,Mailed check,1
2039,15710743,Onwuamaeze,621,France,Male,47,Yes,0,0,1,1,133831.37,90.8,2361.8,Electronic check,1
2040,15595831,Shen,579,Germany,Female,64,No,6,145215.43,1,1,164083.72,79.35,1730.35,Electronic check,0
2041,15626684,Huang,547,France,Female,38,No,5,167539.97,1,1,159207.34,90.55,6404,Bank transfer (automatic),0
2042,15709846,Yeh,840,France,Female,39,No,1,94968.97,1,0,84487.62,19.45,165.35,Mailed check,0
2043,15635459,Shih,667,Germany,Female,27,No,3,106116.5,2,0,3674.71,64.45,1867.6,Bank transfer (automatic),0
2044,15642544,Henderson,723,France,Male,34,No,5,0,2,1,12092.03,69.65,1043.3,Electronic check,0
2045,15566494,Fang,487,France,Male,45,No,2,0,2,0,77475.73,19.5,128.6,Mailed check,0
2046,15655238,Dellucci,668,France,Female,31,No,9,0,2,0,41291.73,110.5,7455.45,Bank transfer (automatic),0
2047,15733429,Chou,520,Germany,Male,34,Yes,8,120018.86,2,1,343.38,24.7,24.7,Mailed check,0
2048,15814536,Conti,549,France,Male,37,No,2,112541.54,2,0,47432.43,77.4,206.15,Electronic check,0
2049,15771702,Roberts,567,France,Female,35,No,5,166118.45,2,0,127827.18,96.8,2030.3,Bank transfer (automatic),0
2050,15723008,Lo Duca,720,France,Female,45,No,1,102882.4,2,1,35633.15,85.4,5869.4,Bank transfer (automatic),1
2051,15797160,Glover,492,France,Female,49,No,8,0,1,1,182865.09,47.6,3377.8,Bank transfer (automatic),1
2052,15792222,Johnstone,712,France,Female,37,Yes,1,106881.5,2,0,169386.81,19.4,1346.2,Mailed check,0
2053,15644765,Ashton,689,Germany,Male,26,No,4,120727.97,1,1,149073.88,103.85,4946.05,Electronic check,0
2054,15610686,Melton,850,France,Male,63,No,8,169832.57,1,0,184107.26,83.35,4065,Bank transfer (automatic),1
2055,15730868,Marshall,747,France,Male,41,No,5,0,2,1,22750.17,49.4,106.55,Electronic check,0
2056,15705991,Kenenna,469,Germany,Male,38,No,9,113599.42,1,0,11950.29,108.45,4964.7,Credit card (automatic),0
2057,15577078,Zakharov,539,Spain,Male,38,No,6,0,1,1,152880.07,81,4085.75,Bank transfer (automatic),1
2058,15679550,Chukwualuka,743,France,Male,32,No,9,0,2,0,175252.78,79.2,1742.75,Electronic check,0
2059,15787655,Chu,707,France,Male,47,No,3,0,2,0,174303.29,86.65,6224.8,Bank transfer (automatic),0
2060,15668081,Capon,581,Spain,Female,50,Yes,4,0,2,1,80701.72,92.95,3415.25,Electronic check,0
2061,15747980,Cattaneo,737,Spain,Male,38,Yes,6,146282.79,2,0,198516.2,90.35,6325.25,Electronic check,0
2062,15710295,Patrick,445,Germany,Female,38,Yes,6,119413.62,2,0,175756.36,48.7,340.25,Electronic check,0
2063,15724443,Taylor,703,Germany,Female,29,No,3,122084.63,1,1,82824.08,25.15,1683.6,Credit card (automatic),0
2064,15571305,Stephenson,588,Germany,Female,35,Yes,1,103060.63,1,0,179866.01,76.4,3966.3,Bank transfer (automatic),1
2065,15569503,Yeh,765,France,Male,44,Yes,6,0,2,1,159899.97,19.55,608.5,Bank transfer (automatic),0
2066,15581840,DeRose,626,France,Male,33,No,8,0,2,0,138504.28,85.35,2896.6,Electronic check,0
2067,15772262,Vavilov,545,Germany,Male,37,Yes,9,110483.86,1,1,127394.67,24.8,1514.85,Mailed check,0
2068,15767794,Browne,744,France,Male,31,No,9,120718.28,1,1,58961.49,103.15,6792.45,Bank transfer (automatic),0
2069,15629338,Collingridge de Tourcey,658,Spain,Female,31,No,2,36566.96,1,0,103644.98,100.75,4669.2,Mailed check,1
2070,15790379,Rowe,629,Germany,Male,28,No,8,108601,1,1,119647.7,95.6,95.6,Electronic check,0
2071,15750684,Jibunoh,719,France,Female,42,No,4,0,1,0,28465.86,59.75,2934.3,Credit card (automatic),1
2072,15697214,Korovin,686,Spain,Female,36,Yes,5,0,2,1,152979.14,94.1,6302.8,Credit card (automatic),0
2073,15711015,Hammonds,743,France,Male,36,Yes,4,0,2,1,190911.02,19.35,779.2,Bank transfer (automatic),0
2074,15573309,Ward,626,Spain,Female,48,No,2,0,2,1,95794.98,19.9,283.75,Mailed check,0
2075,15805303,Olisanugo,661,Germany,Male,44,No,1,141136.62,1,0,189742.78,108.15,4600.7,Credit card (automatic),1
2076,15741385,Gallop,710,Germany,Male,45,No,9,108231.37,1,1,188574.08,101.05,5594,Electronic check,0
2077,15780254,Gartrell,654,France,Male,40,No,6,0,1,0,183872.88,59.1,772.85,Credit card (automatic),1
2078,15744843,K'ung,569,Spain,Female,34,No,6,144855.34,1,0,196555.32,71.35,71.35,Electronic check,0
2079,15815626,Oluchi,640,France,Male,63,Yes,2,68432.45,2,1,112503.24,55.85,857.8,Mailed check,1
2080,15784736,Jamieson,562,France,Male,45,Yes,6,136855.24,1,0,46864,106.05,7554.05,Electronic check,0
2081,15813412,Barlow,721,France,Female,55,No,3,44020.89,1,0,65864.4,84.1,5981.65,Credit card (automatic),1
2082,15809143,White,456,Germany,Male,32,Yes,9,133060.63,1,1,125167.92,75.3,1702.9,Credit card (automatic),0
2083,15617617,Stewart,811,Spain,Male,39,Yes,7,0,2,1,177519.39,24.7,467.15,Mailed check,0
2084,15779738,Buccho,534,France,Male,24,No,1,0,1,1,169653.32,20.15,20.15,Mailed check,0
2085,15668669,Benson,423,France,Female,36,Yes,5,97665.61,1,0,118372.55,69.75,69.75,Bank transfer (automatic),1
2086,15687477,Thompson,594,Germany,Male,28,No,5,185013.02,1,0,16481.12,93.2,2931,Electronic check,0
2087,15578908,Todd,725,Spain,Female,32,Yes,0,0,2,1,138525.19,80.85,1400.85,Electronic check,0
2088,15687658,Burgin,716,France,Female,52,No,7,65971.61,2,0,14608,33.65,137.85,Electronic check,1
2089,15615020,Nnaife,595,Germany,Female,41,No,9,150463.11,2,1,81548.38,55.8,1941.5,Electronic check,0
2090,15608886,Okwudiliolisa,679,France,Female,33,No,1,0,2,0,69608.48,39.7,1932.75,Credit card (automatic),0
2091,15602551,Johnson,667,Spain,Male,39,Yes,9,0,2,0,68873.8,29.5,1423.05,Credit card (automatic),0
2092,15672945,Parkes,661,France,Female,37,Yes,5,136425.18,1,0,81102.81,20.15,970.85,Credit card (automatic),0
2093,15757408,Lo,655,Spain,Male,38,No,3,250898.09,3,1,81054,79.55,5810.9,Credit card (automatic),1
2094,15806132,Martin,555,France,Male,55,Yes,4,146798.81,1,1,74149.77,24.8,223.9,Credit card (automatic),0
2095,15813022,Kapustina,531,Spain,Male,70,No,1,0,2,0,99503.19,19.65,391.7,Mailed check,0
2096,15673578,Page,611,Germany,Female,40,No,7,128486.91,2,0,10109.47,79.95,79.95,Electronic check,0
2097,15757916,Amaechi,600,France,Female,38,No,9,0,2,1,58855.85,19.3,19.3,Electronic check,0
2098,15689168,Munro,531,Spain,Male,37,No,1,143407.29,2,1,84402.46,94.05,811.65,Electronic check,0
2099,15769216,Panicucci,601,France,Female,43,No,2,0,1,0,49713.87,90.75,174.75,Mailed check,1
2100,15593295,Greathouse,548,France,Male,57,No,6,76165.65,1,1,133537.53,78.85,3126.85,Credit card (automatic),0
2101,15804814,Ts'ui,759,France,Male,40,No,4,0,2,0,124615.59,99.5,6841.45,Bank transfer (automatic),0
2102,15778934,Napolitani,678,Spain,Female,49,No,8,0,2,1,98090.69,99.2,3754.6,Electronic check,0
2103,15802351,Beers,755,Germany,Female,33,Yes,6,90560.3,2,1,42607.69,80.55,1406.65,Credit card (automatic),0
2104,15630241,Tretyakova,594,France,Male,61,No,3,62391.22,1,1,192434.11,70.2,834.7,Electronic check,0
2105,15719561,Lin,768,France,Male,42,No,5,0,3,0,60686.4,85.2,627.4,Credit card (automatic),0
2106,15615096,Costa,492,France,Female,31,No,7,0,2,1,49463.44,75.25,242,Electronic check,0
2107,15659931,Ibezimako,637,Germany,Female,55,Yes,1,123378.2,1,0,81431.99,59.45,3157,Credit card (automatic),1
2108,15714586,Marcelo,646,Spain,Female,42,No,3,99836.47,1,1,22909.56,93.35,3092,Electronic check,0
2109,15634949,Hay,593,Germany,Male,74,No,5,161434.36,2,1,65532.17,44.95,2168.9,Bank transfer (automatic),0
2110,15589224,Moore,596,Spain,Male,41,No,5,0,2,1,141053.85,26.1,980.35,Bank transfer (automatic),0
2111,15795990,Lumholtz,722,Germany,Female,48,No,10,138311.76,1,1,3472.63,20.2,65.95,Electronic check,1
2112,15603216,Simpson,642,France,Male,25,Yes,7,0,2,0,102083.78,21.25,711.9,Mailed check,0
2113,15631201,Hill,472,Spain,Female,28,No,4,0,2,0,1801.77,59.4,1952.8,Electronic check,0
2114,15686255,Mouzon,738,Germany,Male,35,Yes,6,101744.84,1,0,85185.44,95,4368.85,Credit card (automatic),0
2115,15746594,Wu,732,Spain,Male,33,No,8,0,1,0,119882.7,61.9,2647.1,Mailed check,0
2116,15718893,Pirozzi,404,Germany,Female,54,No,4,125456.07,1,0,83715.66,118.65,8477.6,Electronic check,1
2117,15671609,Ibeabuchi,701,France,Male,44,No,7,0,2,0,23425.78,54.35,54.35,Electronic check,0
2118,15652540,Garnsey,683,France,Male,31,Yes,2,0,2,1,77326.78,64.45,4528,Bank transfer (automatic),0
2119,15774857,Synnot,460,France,Female,27,Yes,7,0,2,0,156150.08,80.15,1790.65,Electronic check,1
2120,15791836,Wildman,690,France,Male,29,Yes,5,0,2,0,108577.97,20.2,845.6,Bank transfer (automatic),0
2121,15651554,Anenechukwu,618,Germany,Female,54,Yes,4,118449.21,1,1,133573.29,21,1210.3,Mailed check,1
2122,15583576,Tai,671,France,Male,30,No,2,0,1,1,102057.86,20.45,20.45,Mailed check,0
2123,15732740,Plant,765,Spain,Female,32,No,9,178095.55,1,0,47247.56,75.85,854.45,Mailed check,0
2124,15723320,Azubuike,651,Germany,Female,25,No,2,109175.14,2,0,114566.47,80.45,2429.1,Electronic check,0
2125,15603851,Galkin,704,France,Male,32,No,7,127785.17,4,0,184464.7,24.95,100.4,Electronic check,1
2126,15777923,Johnston,544,France,Female,45,Yes,6,0,2,1,151401.33,75.5,5229.45,Electronic check,0
2127,15735719,Babbage,790,France,Female,40,No,9,0,2,1,70607.1,44.45,44.45,Mailed check,0
2128,15703482,Walker,710,Germany,Male,34,No,9,134260.36,2,0,147074.67,42.35,1716.45,Electronic check,0
2129,15605835,Rice,743,France,Male,37,Yes,8,69143.91,2,1,105780.18,74.55,3023.55,Credit card (automatic),0
2130,15664881,Norton,702,France,Male,34,No,4,100054.77,1,0,109496.45,75.3,75.3,Electronic check,0
2131,15757568,Bogolyubov,704,France,Female,45,No,6,0,1,1,137739.45,94.8,4837.6,Electronic check,0
2132,15792660,Gibbons,614,France,Male,38,Yes,2,116248.88,1,0,105140.92,48.15,2032.3,Credit card (automatic),0
2133,15599722,Chia,609,Spain,Female,43,Yes,6,86053.52,2,1,113276.46,19.65,436.9,Mailed check,1
2134,15726354,Smith,688,France,Female,32,No,6,123157.95,1,0,172531.23,70.55,70.55,Electronic check,0
2135,15610355,Hunter,713,France,Male,44,No,1,63438.91,1,0,64375.4,20.15,20.15,Mailed check,0
2136,15704284,Ekechukwu,736,Germany,Male,57,No,9,95295.39,1,0,28434.44,106.6,5893.95,Credit card (automatic),1
2137,15621893,Bellucci,727,France,Male,18,Yes,4,133550.67,1,1,46941.41,91,1430.05,Electronic check,0
2138,15588219,Ford,850,France,Female,38,Yes,1,106871.81,2,0,29333.01,25.4,313,Bank transfer (automatic),0
2139,15688619,Scott,718,Spain,Male,45,Yes,3,105266.32,2,1,193724.51,69.95,3871.85,Bank transfer (automatic),0
2140,15765518,Gregson,643,France,Female,51,No,2,105229.53,1,0,34967.75,66.85,458.1,Electronic check,1
2141,15616931,Moore,653,France,Male,41,Yes,8,102768.42,1,0,55663.85,86.15,2745.7,Credit card (automatic),0
2142,15758372,Wallace,674,France,Male,18,Yes,7,0,2,1,55753.12,20.15,341.35,Electronic check,1
2143,15782591,Cook,690,France,Male,35,Yes,6,112689.95,1,0,176962.31,64.85,1336.8,Mailed check,0
2144,15612109,Speth,819,France,Male,38,No,9,122334.26,2,1,181507.44,74.85,2181.75,Electronic check,0
2145,15613712,Boag,634,Spain,Male,34,No,1,0,2,0,61995.57,50.5,147.75,Mailed check,0
2146,15639322,Grave,633,Spain,Male,33,No,4,137847.41,2,0,98349.13,72.9,818.45,Electronic check,0
2147,15594349,Streeten,850,France,Male,49,No,5,122486.47,1,1,59748.19,115.05,7133.45,Credit card (automatic),0
2148,15574167,Fox,665,France,Male,33,No,2,101286.11,1,1,159840.51,19,348.8,Electronic check,0
2149,15811842,Artemyeva,630,Spain,Male,26,Yes,7,0,2,1,6656.64,19.55,128.6,Mailed check,0
2150,15648794,Giordano,836,Spain,Male,57,No,4,101247.06,1,0,37141.62,101.1,4674.4,Electronic check,1
2151,15771211,Perkins,668,France,Male,38,No,10,86977.96,1,1,37094.75,84.1,1737.45,Electronic check,0
2152,15588614,Walton,753,France,Male,57,No,7,0,1,0,159475.08,24.15,1498.85,Bank transfer (automatic),1
2153,15630698,Hay,745,France,Female,55,No,9,110123.59,1,1,51548.14,50.1,50.1,Electronic check,1
2154,15694200,Gardner,693,France,Male,36,No,8,178111.82,1,0,58719.63,74.6,1797.75,Electronic check,1
2155,15721426,Milne,606,Germany,Male,65,Yes,10,126306.64,3,0,7861.68,19.75,498.1,Mailed check,1
2156,15725997,She,660,France,Female,35,No,6,100768.77,1,0,19199.61,85,2624.25,Electronic check,0
2157,15762138,Hu,608,France,Male,42,No,5,0,2,0,178504.29,80.55,184.1,Electronic check,0
2158,15750649,Uwakwe,744,France,Female,44,No,3,0,2,1,189016.14,106.8,5498.8,Bank transfer (automatic),0
2159,15685706,Bird,731,France,Female,40,Yes,7,118991.79,1,1,156048.64,84.5,4845.4,Electronic check,0
2160,15641835,Anderson,683,France,Male,72,No,3,140997.26,1,1,52876.41,25.05,369.1,Bank transfer (automatic),0
2161,15586821,Bellew,727,France,Male,28,Yes,5,0,2,1,19653.08,83.7,6096.9,Bank transfer (automatic),0
2162,15569678,Cocci,561,Germany,Male,32,No,6,166824.59,1,0,139451.98,75.8,160.75,Electronic check,0
2163,15793842,Krichauff,700,France,Female,34,No,2,76322.69,1,0,128136.29,96.6,2684.35,Credit card (automatic),0
2164,15667554,Cameron,605,France,Male,35,No,6,0,2,1,45206.57,98.5,3004.15,Electronic check,0
2165,15794479,Becker,767,Spain,Male,77,Yes,8,149083.7,1,1,190146.83,101.1,6994.8,Credit card (automatic),0
2166,15585041,Ainsworth,511,France,Male,33,No,7,0,2,1,158313.87,20.2,273.25,Mailed check,0
2167,15780650,Biryukov,667,France,Male,40,No,9,0,1,1,96670.2,94.05,5483.9,Electronic check,0
2168,15780846,Redding,787,France,Male,33,No,1,126588.81,2,1,62163.53,95.25,1233.65,Electronic check,0
2169,15805260,Wood,705,Germany,Female,56,No,2,143249.67,1,0,88428.41,74.4,527.9,Mailed check,1
2170,15621629,Scott,773,Germany,Male,43,No,8,81844.91,2,1,35908.46,81,4985.9,Mailed check,0
2171,15662151,Gould,554,France,Male,40,No,4,0,1,1,168780.04,60.25,1258.35,Electronic check,0
